price_type,species_malay,month,month_name_ms,price_rm_per_kg,annual_average_rm_per_kg
ex_vessel,Debam,1,Januari,2.23,3.01
ex_vessel,Debam,2,Februari,2.76,3.01
ex_vessel,Debam,3,Mac,2.89,3.01
ex_vessel,Debam,4,April,3.15,3.01
ex_vessel,Debam,5,Mei,3.13,3.01
ex_vessel,Debam,6,Jun,3.15,3.01
ex_vessel,Debam,7,Julai,3.31,3.01
ex_vessel,Debam,8,Ogos,3.2,3.01
ex_vessel,Debam,9,September,3.24,3.01
ex_vessel,Debam,10,Oktober,3.15,3.01
ex_vessel,Debam,11,November,3.07,3.01
ex_vessel,Debam,12,Disember,2.86,3.01
ex_vessel,Delah,1,Januari,7.27,7.26
ex_vessel,Delah,2,Februari,6.3,7.26
ex_vessel,Delah,3,Mac,6.86,7.26
ex_vessel,Delah,4,April,7.13,7.26
ex_vessel,Delah,5,Mei,7.71,7.26
ex_vessel,Delah,6,Jun,7.39,7.26
ex_vessel,Delah,7,Julai,7.41,7.26
ex_vessel,Delah,8,Ogos,7.79,7.26
ex_vessel,Delah,9,September,7.59,7.26
ex_vessel,Delah,10,Oktober,6.85,7.26
ex_vessel,Delah,11,November,7.49,7.26
ex_vessel,Delah,12,Disember,7.28,7.26
ex_vessel,Demudok,1,Januari,11.57,11.51
ex_vessel,Demudok,2,Februari,11.53,11.51
ex_vessel,Demudok,3,Mac,12.08,11.51
ex_vessel,Demudok,4,April,11.84,11.51
ex_vessel,Demudok,5,Mei,11.72,11.51
ex_vessel,Demudok,6,Jun,11.26,11.51
ex_vessel,Demudok,7,Julai,11.25,11.51
ex_vessel,Demudok,8,Ogos,11.25,11.51
ex_vessel,Demudok,9,September,11.65,11.51
ex_vessel,Demudok,10,Oktober,11.27,11.51
ex_vessel,Demudok,11,November,11.32,11.51
ex_vessel,Demudok,12,Disember,11.38,11.51
ex_vessel,Dengkis,1,Januari,5.4,5.54
ex_vessel,Dengkis,2,Februari,5.63,5.54
ex_vessel,Dengkis,3,Mac,5.45,5.54
ex_vessel,Dengkis,4,April,5.61,5.54
ex_vessel,Dengkis,5,Mei,5.59,5.54
ex_vessel,Dengkis,6,Jun,5.69,5.54
ex_vessel,Dengkis,7,Julai,5.35,5.54
ex_vessel,Dengkis,8,Ogos,5.19,5.54
ex_vessel,Dengkis,9,September,5.74,5.54
ex_vessel,Dengkis,10,Oktober,5.74,5.54
ex_vessel,Dengkis,11,November,5.36,5.54
ex_vessel,Dengkis,12,Disember,5.78,5.54
ex_vessel,Duri/Pulutan/Utek,1,Januari,4.3,3.89
ex_vessel,Duri/Pulutan/Utek,2,Februari,4.36,3.89
ex_vessel,Duri/Pulutan/Utek,3,Mac,4.18,3.89
ex_vessel,Duri/Pulutan/Utek,4,April,4.26,3.89
ex_vessel,Duri/Pulutan/Utek,5,Mei,3.49,3.89
ex_vessel,Duri/Pulutan/Utek,6,Jun,3.53,3.89
ex_vessel,Duri/Pulutan/Utek,7,Julai,3.5,3.89
ex_vessel,Duri/Pulutan/Utek,8,Ogos,3.75,3.89
ex_vessel,Duri/Pulutan/Utek,9,September,3.92,3.89
ex_vessel,Duri/Pulutan/Utek,10,Oktober,3.94,3.89
ex_vessel,Duri/Pulutan/Utek,11,November,3.76,3.89
ex_vessel,Duri/Pulutan/Utek,12,Disember,3.66,3.89
ex_vessel,Empirit,1,Januari,4.83,4.56
ex_vessel,Empirit,2,Februari,5.37,4.56
ex_vessel,Empirit,3,Mac,5.08,4.56
ex_vessel,Empirit,4,April,4.82,4.56
ex_vessel,Empirit,5,Mei,4.43,4.56
ex_vessel,Empirit,6,Jun,4.55,4.56
ex_vessel,Empirit,7,Julai,4.58,4.56
ex_vessel,Empirit,8,Ogos,4.54,4.56
ex_vessel,Empirit,9,September,4.19,4.56
