species_malay,month,month_name_ms,landings_tonnes
Kayu/Tongkol/Aya Kurik,1,Januari,732
Kayu/Tongkol/Aya Kurik,2,Februari,1561
Kayu/Tongkol/Aya Kurik,3,Mac,3307
Kayu/Tongkol/Aya Kurik,4,April,3253
Kayu/Tongkol/Aya Kurik,5,Mei,3888
Kayu/Tongkol/Aya Kurik,6,Jun,2469
Kayu/Tongkol/Aya Kurik,7,Julai,1810
Kayu/Tongkol/Aya Kurik,8,Ogos,1816
Kayu/Tongkol/Aya Kurik,9,September,1883
Kayu/Tongkol/Aya Kurik,10,Oktober,2342
Kayu/Tongkol/Aya Kurik,11,November,1975
Kayu/Tongkol/Aya Kurik,12,Disember,779
Kayu/Tongkol/Aya Peluru,1,Januari,30
Kayu/Tongkol/Aya Peluru,2,Februari,489
Kayu/Tongkol/Aya Peluru,3,Mac,413
Kayu/Tongkol/Aya Peluru,4,April,26
Kayu/Tongkol/Aya Peluru,5,Mei,656
Kayu/Tongkol/Aya Peluru,6,Jun,65
Kayu/Tongkol/Aya Peluru,7,Julai,147.2
Kayu/Tongkol/Aya Peluru,8,Ogos,61.4
Kayu/Tongkol/Aya Peluru,9,September,9
Kayu/Tongkol/Aya Peluru,10,Oktober,46
Kayu/Tongkol/Aya Peluru,11,November,1
Kayu/Tongkol/Aya Peluru,12,Disember,3
Kayu/Tongkol/Aya Selasih,1,Januari,205
Kayu/Tongkol/Aya Selasih,2,Februari,244
Kayu/Tongkol/Aya Selasih,3,Mac,474
Kayu/Tongkol/Aya Selasih,4,April,779
Kayu/Tongkol/Aya Selasih,5,Mei,1030
Kayu/Tongkol/Aya Selasih,6,Jun,789
Kayu/Tongkol/Aya Selasih,7,Julai,634
Kayu/Tongkol/Aya Selasih,8,Ogos,762
Kayu/Tongkol/Aya Selasih,9,September,561
Kayu/Tongkol/Aya Selasih,10,Oktober,894
Kayu/Tongkol/Aya Selasih,11,November,635
Kayu/Tongkol/Aya Selasih,12,Disember,346
Tongkol/Aya Jalur/Skipjack,1,Januari,515.3
Tongkol/Aya Jalur/Skipjack,2,Februari,414.7
Tongkol/Aya Jalur/Skipjack,3,Mac,464.97
Tongkol/Aya Jalur/Skipjack,4,April,389.2
Tongkol/Aya Jalur/Skipjack,5,Mei,154.9
Tongkol/Aya Jalur/Skipjack,6,Jun,115
Tongkol/Aya Jalur/Skipjack,7,Julai,283
Tongkol/Aya Jalur/Skipjack,8,Ogos,425
Tongkol/Aya Jalur/Skipjack,9,September,107
Tongkol/Aya Jalur/Skipjack,10,Oktober,442
Tongkol/Aya Jalur/Skipjack,11,November,481
Tongkol/Aya Jalur/Skipjack,12,Disember,492.2
Kebasi,1,Januari,561
Kebasi,2,Februari,573
Kebasi,3,Mac,418
Kebasi,4,April,376
Kebasi,5,Mei,397
Kebasi,6,Jun,327
Kebasi,7,Julai,325
Kebasi,8,Ogos,315
Kebasi,9,September,306
Kebasi,10,Oktober,312
Kebasi,11,November,643
Kebasi,12,Disember,306
Kedera,1,Januari,37
Kedera,2,Februari,42
Kedera,3,Mac,52
Kedera,4,April,27
Kedera,5,Mei,45
Kedera,6,Jun,41
Kedera,7,Julai,26
Kedera,8,Ogos,17
Kedera,9,September,18
Kedera,10,Oktober,26
Kedera,11,November,57
Kedera,12,Disember,50
Kembong,1,Januari,1781
Kembong,2,Februari,2151
Kembong,3,Mac,3763
